City,Latitude,Longitude,Temperature,Humidity,Wind,Clouds
ribeira grande,38.52,-28.7,68.92,93,20.22,100
yellowknife,62.46,-114.35,12.06,92,8.05,75
westport,41.14,-73.36,31.51,80,5.82,1
wajir,1.75,40.06,77.88,69,12.19,41
rapid valley,44.06,-103.15,55.76,49,14.99,1
broome,42.25,-75.83,28.42,80,3.36,90
portland,45.52,-122.68,47.26,77,3.6,32
peniche,39.36,-9.38,55.99,90,1.52,36
mangan,27.52,88.53,85.87,14,5.23,99
jamestown,42.1,-79.24,32.76,92,5.82,90
ketchikan,55.34,-131.65,44.6,81,8.05,90
calabozo,8.92,-67.43,76.12,91,5.41,69
hasaki,35.73,140.83,65.16,45,13.87,20
berdigestyakh,62.1,126.7,1.89,86,2.42,29
puerto del rosario,28.5,-13.86,71.6,68,8.05,0
morehead,37.27,-87.18,37.04,93,3.65,1
albany,42.6,-73.97,29.98,99,3.71,43
dikson,73.51,80.55,15.4,96,26.24,98
naryan-mar,67.67,53.09,33.64,91,15.43,45
lagoa,39.05,-27.98,68.36,94,23.71,100
basco,20.45,121.97,77.0,72,29.66,74
avera,33.19,-82.53,54.66,87,5.82,1
iqaluit,63.75,-68.51,17.6,78,9.17,90
kapaa,22.08,-159.32,76.05,65,4.7,75
provideniya,64.38,-173.3,21.04,84,6.96,26
puyang,29.46,119.89,71.02,46,2.17,48
corinto,37.94,22.96,57.99,60,3.0,7
guerrero negro,27.98,-114.06,66.87,61,8.72,28
shushenskoye,53.33,91.94,33.8,100,8.95,75
merritt island,28.54,-80.67,67.12,77,4.7,20
tunceli,39.11,39.55,69.15,17,3.36,75
lavrentiya,65.58,-171.0,20.3,90,10.85,0
vanavara,60.34,102.28,13.05,93,5.57,93
boa vista,2.82,-60.67,80.6,74,3.36,40
harper,4.38,-7.72,76.98,90,7.61,71
marsa matruh,31.35,27.25,69.8,64,5.82,75
tha mai,12.62,102.0,89.01,52,1.7,5
srednyaya yelyuzan,53.02,45.95,41.0,75,5.53,100
butaritari,3.07,172.79,82.45,76,19.55,39
tambovka,50.1,128.05,35.6,69,8.95,20
mayo,38.89,-76.51,46.31,75,5.82,90
half moon bay,37.46,-122.43,54.93,82,3.42,5
kodiak,57.79,-152.41,35.6,59,10.29,90
ola,59.58,151.28,32.13,97,9.95,100
luba,3.46,8.55,75.2,100,4.07,40
athy,52.99,-6.98,57.65,92,11.01,100
ostrovnoy,68.05,39.51,32.86,94,19.28,91
inndyr,67.03,14.03,41.0,75,20.8,75
yabrud,33.97,36.66,62.83,51,4.7,40
komsomolskiy,40.43,71.72,50.0,25,4.7,0
torbay,47.67,-52.73,34.18,64,10.29,90
tasiilaq,65.61,-37.64,32.0,97,20.8,100
shubarshi,48.59,57.19,46.26,52,14.09,64
upernavik,72.79,-56.15,19.38,96,2.68,96
clyde river,70.47,-68.59,15.8,85,6.93,90
chunskiy,56.08,99.63,26.22,90,10.6,100
mahon,39.89,4.27,59.0,93,3.36,0
mangrol,21.12,70.12,86.13,38,6.82,0
cherepovets,59.13,37.9,42.8,93,4.85,90
severo-kurilsk,50.68,156.12,40.42,91,38.27,100
vila franca do campo,37.72,-25.43,69.8,94,16.11,75
aberdeen,57.14,-2.1,45.07,93,4.7,100
meybod,32.25,54.02,53.6,25,4.7,0
georgetown,5.41,100.34,88.05,70,6.93,20
bandarbeyla,9.49,50.81,78.98,75,12.08,42
saint george,37.1,-113.58,56.71,21,5.82,1
marsabit,2.33,37.99,64.83,82,18.43,84
ormara,25.21,64.64,80.65,31,4.5,0
saskylakh,71.92,114.08,-1.62,83,5.39,2
bethel,41.37,-73.41,29.1,92,3.36,1
lokoja,7.8,6.74,73.8,83,2.62,48
nikolskoye,59.7,30.79,44.19,93,4.47,90
salamiyah,35.01,37.05,67.05,58,1.03,99
vardo,70.37,31.11,34.34,86,11.77,25
longyearbyen,78.22,15.64,17.6,72,3.36,20
kanker,20.27,81.49,79.48,45,5.84,12
college,64.86,-147.8,9.23,85,4.7,90
praia da vitoria,38.73,-27.07,69.01,94,13.85,40
livingston,55.9,-3.52,45.37,81,12.75,75
sisimiut,66.94,-53.67,19.38,91,8.75,83
ossora,59.24,163.07,32.02,93,0.63,69
parrita,9.52,-84.32,66.36,100,4.7,90
taoudenni,22.68,-3.98,71.37,28,10.96,75
khani,41.96,42.96,53.6,93,5.82,75
paamiut,61.99,-49.67,26.78,88,21.25,70
torquay,50.46,-3.51,56.77,9,27.29,100
khatanga,71.97,102.5,-9.69,86,5.68,0
baghmara,23.8,86.21,85.21,41,6.85,3
bondoukou,8.03,-2.8,70.36,93,3.33,9
bhag,29.04,67.82,84.76,13,4.85,0
panvel,18.98,73.1,86.0,45,4.7,0
victoria,22.29,114.16,73.47,62,4.0,31
inuvik,68.35,-133.72,1.4,91,3.36,96
nanortalik,60.14,-45.24,27.18,92,10.76,86
cherskiy,68.75,161.3,4.55,88,5.41,94
qaanaaq,77.48,-69.36,14.88,90,6.17,95
novolabinskaya,45.11,39.89,59.0,100,4.47,90
severodvinsk,64.56,39.83,30.2,92,2.24,75
tiksi,71.69,128.87,6.48,95,3.22,100
xining,36.62,101.77,43.07,59,2.44,44
dubti,11.74,41.09,80.42,61,10.45,7
ixtapa,20.7,-105.2,80.6,78,2.04,90
marabba,12.35,32.18,81.45,60,9.35,100
straumen,63.87,11.3,44.22,93,9.17,75
jadu,31.95,12.03,50.85,93,1.63,51
nemuro,43.32,145.57,51.8,62,9.17,40
keuruu,62.27,24.7,39.0,100,1.12,90
haines junction,60.75,-137.51,17.6,72,1.12,100
wala,4.58,12.32,66.38,98,0.65,12
solnechnyy,50.72,136.63,39.63,71,5.12,71
bonavista,48.65,-53.11,29.79,86,4.7,100
astoria,46.19,-123.83,48.07,93,4.7,1
manicaragua,22.15,-79.97,76.08,100,5.82,9
simav,39.09,28.98,42.8,93,2.24,75
dalvik,65.97,-18.53,42.8,73,12.75,20
tilichiki,60.47,166.1,28.49,97,2.98,95
hovd,48.01,91.64,34.52,71,4.25,5
catuday,16.29,119.81,82.87,76,11.5,39
shimoda,34.67,138.95,59.72,48,17.22,20
norman wells,65.28,-126.83,6.8,84,4.7,75
pangnirtung,66.15,-65.71,12.34,79,3.51,92
navrongo,10.9,-1.09,76.37,34,2.42,0
tabuk,17.42,121.44,77.02,83,13.73,99
cayenne,4.93,-52.33,77.0,100,1.12,0
moroto,2.53,34.67,68.4,74,6.98,58
prachatice,49.01,14.0,46.8,95,6.02,37
palmer,42.16,-72.33,23.45,92,1.88,1
batagay-alyta,67.8,130.41,3.6,93,0.54,100
bontang,0.13,117.5,83.82,71,5.1,87
safford,32.83,-109.71,60.8,41,4.59,1
sitka,57.05,-135.33,46.4,87,13.87,90
makakilo city,21.35,-158.09,77.11,74,11.41,40
sangar,63.92,127.47,-5.22,88,3.15,7
aksarka,66.56,67.8,34.74,98,13.18,100
pacific grove,36.62,-121.92,53.42,87,3.36,1
ohara,35.25,140.38,64.22,45,13.87,20
dzhebariki-khaya,62.22,135.8,3.06,86,2.77,70
orlik,52.52,99.83,24.19,81,14.18,96
teluk intan,4.03,101.02,89.22,70,2.24,40
rangapara,26.82,92.65,81.57,55,3.67,86
ivankiv,50.94,29.89,42.4,100,8.95,98
mandalgovi,45.76,106.27,32.76,69,19.77,99
beringovskiy,63.05,179.32,21.7,89,13.11,62
turayf,31.67,38.66,60.8,26,6.93,0
nanyuki,0.02,37.07,61.41,74,6.6,26
barrow,71.29,-156.79,8.6,84,8.05,1
narsaq,60.92,-46.05,23.0,79,3.36,89
klaksvik,62.23,-6.59,46.4,87,17.22,27
creel,27.75,-107.63,48.65,50,2.84,93
hudson bay,52.85,-102.38,34.21,95,8.72,100
sarangani,5.4,125.46,84.45,76,13.6,100
tuktoyaktuk,69.45,-133.04,1.4,91,4.7,75
zaria,11.11,7.72,70.23,35,6.64,0
isla vista,34.41,-119.86,62.71,93,4.7,1
hilo,19.73,-155.09,74.59,78,5.82,90
makat,47.65,53.35,49.32,52,20.11,38
phangnga,8.45,98.53,86.0,66,8.05,20
yuanping,38.72,112.76,56.35,28,15.12,0
kuching,1.55,110.33,87.42,70,6.93,40
syracuse,37.09,15.28,53.6,100,5.82,0
hobyo,5.35,48.53,82.31,72,7.47,71
mersing,2.43,103.84,87.8,70,8.05,20
aykhal,66.0,111.5,1.4,91,2.24,90
oktyabrskiy,54.48,53.47,38.66,76,5.37,100
tazovskiy,67.47,78.7,29.52,99,17.85,100
katsuura,35.13,140.3,64.15,51,8.05,20
champerico,14.3,-91.92,63.14,96,6.15,22
cockburn town,21.46,-71.14,83.3,80,20.65,93
ugoofaaru,5.67,73.0,82.38,69,4.25,15
sabinov,49.1,21.1,44.69,99,3.0,100
mao,39.89,4.27,59.0,93,3.36,0
sukhobezvodnoye,57.05,44.89,38.26,92,2.21,97
vilyuysk,63.76,121.62,-3.12,88,1.79,53
salme,28.04,85.09,73.4,53,2.24,20
kurumkan,54.3,110.3,30.18,83,0.72,100
brigantine,39.41,-74.36,42.17,80,10.29,1
sayyan,15.17,44.32,55.4,37,4.25,0
voghera,44.99,9.01,47.32,96,1.39,0
les herbiers,46.87,-1.02,48.96,100,5.82,75
kaz,52.91,87.31,32.56,96,8.81,100
sovetskiy,61.36,63.58,33.66,91,9.8,99
seymchan,62.88,152.43,14.31,93,3.15,99
cabo san lucas,22.89,-109.91,73.47,69,6.93,20
udachnyy,66.42,112.4,1.4,91,2.24,90
buzmeyin,38.05,58.21,50.0,39,2.24,0
nerchinskiy zavod,51.31,119.61,27.73,96,15.26,100
malakal,9.53,31.66,76.35,77,2.8,71
dali,25.7,100.18,69.49,63,3.83,68
key west,24.56,-81.78,81.01,78,11.41,90
lompoc,34.64,-120.46,56.26,87,3.36,90
yerbogachen,61.28,108.01,12.33,92,6.64,100
talnakh,69.49,88.4,14.0,78,33.55,75
ardesen,41.19,40.99,59.0,82,5.82,40
eydhafushi,5.1,73.07,82.85,69,4.99,41
saint-augustin,51.23,-58.65,26.04,85,9.91,0
hami,42.8,93.45,47.84,44,3.85,0
chokurdakh,70.63,147.92,8.56,96,6.4,100
toba,34.48,136.85,60.01,56,4.0,0
pierre,44.37,-100.35,47.73,70,12.75,1
lesogorsk,56.05,99.51,26.37,90,10.54,100
olafsvik,64.89,-23.71,40.01,85,6.64,74
sur,22.57,59.53,81.41,43,11.81,0
korla,41.76,86.15,50.07,43,7.58,58
dutse,11.76,9.34,67.55,35,2.24,0
sri aman,1.24,111.46,87.8,74,3.65,75
oktyabrskoye,43.06,44.74,42.8,93,6.71,94
tezu,27.92,96.17,82.42,44,1.92,92
moose factory,51.26,-80.61,28.4,58,9.17,90
san cristobal,7.77,-72.22,67.44,92,3.0,98
los llanos de aridane,28.66,-17.92,73.24,31,11.41,75
semporna,4.48,118.61,86.0,74,2.24,40
srednekolymsk,67.45,153.68,5.5,94,0.74,100
nador,35.17,-2.93,59.74,88,4.7,75
ponta do sol,32.67,-17.1,64.17,63,13.87,0
miri,4.41,114.01,87.4,70,2.24,40
nurota,40.56,65.69,48.2,36,9.17,10
los alamos,35.89,-106.31,45.68,61,2.64,1
port alberni,49.24,-124.8,43.34,87,2.28,41
yarmouth,41.71,-70.23,40.21,55,9.17,75
kyabe,9.45,18.94,73.29,82,4.36,48
sept-iles,50.2,-66.38,22.53,68,8.05,1
bilibino,68.05,166.44,5.04,89,1.36,94
petrivka,46.97,30.96,51.42,87,11.18,75
grindavik,63.84,-22.43,42.8,81,27.51,75
poronaysk,49.22,143.12,43.95,62,3.22,2
vila,42.03,-8.16,54.0,94,1.99,59
matara,5.95,80.54,86.83,62,7.99,84
niagara falls,43.1,-79.07,34.59,69,10.29,90
iracoubo,5.48,-53.2,78.78,88,9.4,10
casablanca,33.59,-7.62,53.6,81,2.24,0
okha,53.57,142.95,39.81,71,6.53,26
port blair,11.67,92.75,83.82,75,10.56,82
waddan,29.16,16.14,58.82,83,7.18,18
davila,18.47,120.58,86.0,62,21.92,20
north bend,43.41,-124.22,52.2,93,4.7,1
tura,25.52,90.22,83.7,70,3.76,96
harnosand,62.63,17.94,37.26,100,3.36,99
vestmannaeyjar,63.44,-20.27,46.44,77,21.56,61
eyl,7.98,49.82,82.27,63,8.21,95
nome,64.5,-165.41,21.07,67,10.29,1
dongsheng,39.82,109.98,42.87,48,17.11,0
egvekinot,66.32,-179.17,12.42,83,9.53,34
jupiter,26.93,-80.09,78.64,83,8.05,28
leverkusen,51.03,7.0,56.3,85,1.01,92
jumla,29.27,82.18,66.02,25,5.57,23
thompson,55.74,-97.86,17.6,78,9.17,90
bad hofgastein,47.17,13.1,44.67,100,1.39,20
naron,43.52,-8.15,63.21,88,12.75,90
bubaque,11.28,-15.83,83.84,71,7.49,58
orda,57.2,56.91,35.02,86,11.07,100
shirvan,39.95,48.9,65.57,80,3.71,68
ocos,14.51,-92.19,75.2,100,7.29,20
codroipo,45.96,12.98,45.55,90,3.76,8
bathsheba,13.22,-59.52,80.6,88,16.11,40
naze,28.37,129.48,77.92,54,23.04,20
doha,25.29,51.53,78.39,61,3.36,0
the valley,18.22,-63.06,81.77,74,11.41,40
loreto,22.27,-101.97,54.09,42,8.93,0
port hardy,50.7,-127.42,39.78,100,3.36,5
thessalon,46.25,-83.57,24.8,79,2.1,1
matagami,49.75,-77.63,14.0,85,5.82,1
camacha,33.08,-16.33,66.2,82,4.7,40
moissac,44.1,1.09,45.73,100,4.7,90
kotka,60.47,26.95,40.53,100,2.24,90
dingle,11.0,122.67,85.55,73,12.48,100
hun,29.13,15.95,57.38,86,7.09,12
novobiryusinskiy,56.96,97.71,21.49,84,6.82,53
oranjestad,12.52,-70.03,80.6,88,3.36,40
mirnyy,62.54,113.96,3.2,77,2.24,0
la ronge,55.1,-105.28,23.0,85,20.8,100
storsteinnes,69.24,19.23,22.3,92,20.8,29
belaya gora,68.53,146.42,2.71,94,3.47,96
faya,18.39,42.45,56.3,55,1.1,0
erzin,36.96,36.2,60.8,77,2.24,0
morro bay,35.37,-120.85,61.3,86,2.77,0
yilan,24.76,121.75,77.77,54,16.11,40
filingue,14.35,3.32,79.09,16,8.59,0
novaya malykla,54.2,49.95,40.19,84,7.23,100
bhanpuri,21.1,80.92,81.25,39,5.61,0
khandyga,62.67,135.6,1.63,85,2.53,64
pangody,65.85,74.49,34.48,97,16.84,100
pevek,69.7,170.31,19.22,97,9.06,100
havelock,34.88,-76.9,55.4,62,12.75,1
sheregesh,52.92,87.99,30.6,98,6.64,100
albion,42.24,-84.75,33.26,74,1.07,90
tarbagatay,51.48,107.36,33.8,47,11.18,40
savannah bight,16.45,-85.85,82.85,75,10.38,100
adrar,20.5,-10.07,78.75,17,8.93,67
ciudad bolivar,8.12,-63.55,79.2,78,8.28,100
manavalakurichi,8.13,77.3,87.8,66,2.24,40
lincoln,40.8,-96.67,48.85,61,10.29,1
corn island,12.17,-83.04,83.25,77,7.65,98
siuna,13.73,-84.78,73.09,96,3.74,100
hondo,32.45,130.2,66.09,45,5.82,20
bose,45.46,8.01,47.14,92,1.54,0
axim,4.87,-2.24,76.95,90,5.01,10
sarai alamgir,32.9,73.76,64.4,55,4.47,0
hargeysa,9.56,44.06,69.37,67,5.35,0
nuevo progreso,23.17,-97.95,59.54,77,1.01,0
jiuquan,39.74,98.52,48.81,43,4.7,75
aqtobe,50.28,57.21,35.6,64,2.24,0
semey,50.41,80.23,39.2,80,2.24,90
sobolevo,54.43,31.9,45.61,96,4.27,100
batticaloa,7.71,81.69,85.55,64,8.59,100
laibin,23.7,109.27,78.75,59,5.61,37
mitu,1.2,-70.17,74.35,94,2.17,33
beisfjord,68.38,17.6,28.33,51,18.34,58
hamilton,39.18,-84.53,36.75,93,3.96,1
wanning,18.8,110.4,80.06,73,15.84,86
bilma,18.69,12.92,66.76,35,13.98,0
castro daire,40.9,-7.93,53.92,8,1.74,19
mazyr,52.05,29.25,38.55,96,5.79,29
sinaloa,25.0,-107.5,72.1,61,2.17,5
banda aceh,5.56,95.32,86.22,63,10.74,76
kerchevskiy,59.95,56.29,35.29,93,8.86,100
muli,2.92,73.57,82.96,70,5.88,90
mehamn,71.04,27.85,28.96,93,10.54,25
holetown,13.19,-59.64,80.6,88,16.11,40
bajos de haina,18.42,-70.03,78.78,87,3.0,100
kinablangan,7.69,126.55,83.05,75,2.68,100
ponta delgada,37.73,-25.67,69.8,94,16.11,75
mitha tiwana,32.25,72.11,83.68,14,3.53,0
aasiaat,68.71,-52.87,18.72,95,4.81,91
tuburan,6.64,122.27,89.6,66,8.05,75
nyurba,63.28,118.33,1.49,84,3.4,68
koshurnikovo,54.17,93.3,31.15,99,7.38,100
oda,35.18,132.5,64.4,52,13.87,40
birr,53.09,-7.91,57.65,95,18.99,100
sai buri,6.7,101.62,86.0,74,5.82,20
meulaboh,4.14,96.13,85.75,62,4.36,100
saldanha,-33.01,17.94,48.2,76,5.82,0
ushuaia,-54.8,-68.3,50.0,71,12.75,75
east london,-33.02,27.91,57.2,87,6.93,75
puerto madryn,-42.77,-65.04,58.39,54,12.1,0
bluff,-46.6,168.33,53.01,85,15.99,100
mataura,-46.19,168.86,53.01,85,15.99,100
namibe,-15.2,12.15,73.31,78,6.98,74
punta arenas,-53.15,-70.92,42.4,87,6.93,75
puerto ayora,-0.74,-90.35,70.0,92,5.01,90
simplicio mendes,-7.85,-41.91,83.66,47,8.16,97
codrington,-38.27,141.97,56.57,74,13.18,73
port macquarie,-31.43,152.92,81.48,64,1.01,36
vaini,-21.2,-175.2,73.4,83,10.29,40
tautira,-17.73,-149.15,82.2,65,6.93,20
cidreira,-30.18,-50.21,62.29,70,7.52,83
rikitea,-23.12,-134.97,76.01,67,4.0,0
cap malheureux,-19.98,57.61,73.0,50,8.01,0
airai,-8.93,125.41,79.2,46,4.61,0
chuy,-33.7,-53.46,52.86,85,6.22,98
hithadhoo,-0.6,73.08,83.91,73,10.04,100
new norfolk,-42.78,147.06,67.91,32,5.01,28
arraial do cabo,-22.97,-42.03,71.19,80,14.09,100
ancud,-41.87,-73.82,47.16,81,2.24,0
isangel,-19.55,169.27,82.4,74,11.41,75
avarua,-21.21,-159.78,73.4,83,8.05,95
cabedelo,-6.98,-34.83,77.0,88,3.36,40
port elizabeth,-33.92,25.57,55.4,82,6.93,75
maldonado,-34.67,-54.92,48.61,100,3.36,0
port lincoln,-34.73,135.87,60.96,67,12.53,49
saint-philippe,-21.36,55.77,67.8,53,10.29,75
busselton,-33.65,115.33,68.16,65,12.24,100
santa maria,-29.68,-53.81,59.0,82,6.93,75
cape town,-33.93,18.42,55.9,62,18.34,0
mount gambier,-37.83,140.77,57.2,67,13.87,90
port alfred,-33.59,26.89,61.81,63,3.13,92
bambous virieux,-20.34,57.76,72.27,49,14.99,20
padang,-0.95,100.35,86.16,61,6.46,45
castro,-24.79,-50.01,51.62,93,9.51,99
carnarvon,-24.87,113.63,78.8,65,18.34,90
grand gaube,-20.01,57.66,73.0,48,10.0,0
port augusta,-32.5,137.77,66.2,59,16.11,90
luwuk,-0.95,122.79,79.3,78,7.4,100
neuquen,-38.95,-68.06,60.8,48,2.24,0
hermanus,-34.42,19.23,46.99,93,12.62,0
amahai,-3.33,128.92,85.44,63,7.49,75
colquechaca,-18.67,-66.02,33.08,100,4.81,81
machinga,-15.17,35.3,75.67,54,4.43,3
samarai,-10.62,150.67,82.65,74,8.23,78
esperance,-33.87,121.9,87.8,22,17.22,13
faanui,-16.48,-151.75,79.12,72,15.97,3
port moresby,-9.44,147.18,84.24,70,11.86,35
loja,-3.99,-79.2,54.21,85,1.7,91
chokwe,-24.53,32.98,73.62,70,12.5,95
lebu,-37.62,-73.65,51.22,90,10.98,3
hobart,-42.88,147.33,65.62,55,16.11,40
santa isabel do rio negro,-0.41,-65.02,74.97,92,2.82,84
shakawe,-18.37,21.85,72.97,33,2.75,0
vanimo,-2.67,141.3,85.57,62,6.46,99
atuona,-9.8,-139.03,77.77,76,11.61,63
guajara,-2.97,-57.67,78.93,80,5.97,90
bredasdorp,-34.53,20.04,50.0,81,2.77,17
tuatapere,-46.13,167.68,53.01,85,15.99,100
boueni,-12.9,45.08,80.6,69,14.99,68
opuwo,-18.06,13.84,68.63,57,4.47,6
rocha,-34.48,-54.33,43.84,91,1.36,42
mount isa,-20.73,139.5,89.6,14,8.05,0
lorengau,-2.02,147.27,83.91,72,1.1,95
yulara,-25.24,130.99,84.2,10,5.82,36
marovoay,-16.1,46.63,77.0,41,18.34,20
luangwa,-15.62,30.42,84.06,43,12.59,0
kieta,-6.22,155.63,82.6,77,5.75,77
waipawa,-41.41,175.52,63.12,88,27.51,98
lujan,-34.57,-59.1,49.53,77,1.01,0
diego de almagro,-26.37,-70.05,53.31,41,1.28,0
mulchen,-37.72,-72.23,53.74,82,3.4,0
pangai,-19.8,-174.35,77.0,78,16.11,75
colesberg,-30.72,25.1,54.37,67,13.73,94
nhamunda,-2.19,-56.71,76.08,93,3.96,100
bowen,-20.02,148.23,91.4,43,16.11,0
souillac,-20.52,57.52,71.6,49,14.99,20
kaitangata,-46.28,169.85,57.0,89,14.0,100
talcahuano,-36.72,-73.12,53.6,87,3.36,0
kavieng,-2.57,150.8,83.82,70,5.21,100
inhambane,-23.86,35.38,75.2,78,5.82,40
santiago,-33.46,-70.65,59.25,67,6.93,0
quatre cocos,-20.21,57.76,72.34,49,14.99,20
bengkulu,-3.8,102.27,83.39,70,6.13,80
alta floresta,-9.88,-56.09,71.31,96,2.73,99
richards bay,-28.78,32.04,68.2,80,11.7,85
aitape,-3.14,142.35,86.07,62,5.55,100
viedma,-40.81,-63.0,60.01,38,4.0,1
pisco,-13.7,-76.22,63.79,82,4.7,90
kruisfontein,-34.0,24.73,52.0,93,2.53,0
auki,-8.77,160.7,81.79,79,1.61,98
mar del plata,-38.0,-57.56,49.44,93,6.93,0
hualmay,-11.1,-77.61,62.35,85,5.3,100
russas,-4.94,-37.98,74.46,84,4.25,72
mahebourg,-20.41,57.7,71.6,49,14.99,20
curuca,-0.73,-47.85,74.61,91,5.1,41
benalla,-36.55,145.98,68.59,56,13.87,38
nokaneng,-19.67,22.27,75.38,25,4.7,29
lichinga,-13.31,35.24,59.0,93,11.41,75
sao joaquim,-28.29,-49.93,41.02,100,3.33,53
durban,-29.86,31.03,62.22,93,2.24,75
luderitz,-26.65,15.16,58.75,62,23.98,100
mayumba,-3.43,10.66,75.88,90,4.83,99
kiama,-34.68,150.87,65.66,87,1.99,46
shurugwi,-19.67,30.01,63.37,59,9.8,0
alofi,-19.06,-169.92,73.4,94,13.87,70
kandrian,-6.22,149.55,80.78,83,9.89,100
palmares do sul,-30.26,-50.51,60.44,76,7.29,79
luanda,-8.84,13.23,77.0,88,2.24,75
nabire,-3.37,135.48,87.04,63,4.61,50
majene,-3.54,118.97,87.55,59,6.2,58
porangatu,-13.44,-49.15,72.68,93,2.33,100
sambava,-14.27,50.17,75.42,62,13.78,61
ahipara,-35.17,173.17,66.06,90,13.0,39
turmalina,-17.29,-42.73,68.67,96,2.82,100
touros,-5.2,-35.46,75.2,88,3.36,40
saint-joseph,-21.37,55.62,67.84,53,10.29,75
gizo,-8.1,156.84,84.31,67,2.59,73
kabompo,-13.59,24.2,68.85,43,5.08,9
srandakan,-7.94,110.25,85.71,65,11.01,55
port hedland,-20.32,118.57,91.4,46,19.46,0
marica,-22.92,-42.82,68.0,82,3.36,90
ikalamavony,-21.15,46.58,65.48,49,8.61,10
amarante do maranhao,-5.57,-46.74,71.53,82,2.62,99
kununurra,-15.77,128.73,102.2,24,5.82,40
san jeronimo,-11.95,-75.28,46.63,73,2.35,100
alyangula,-13.85,136.42,78.8,69,17.22,75
constitucion,-35.33,-72.42,56.3,72,4.83,0
